city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,9way_int_count,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_count,10way_int_prop,11way_int_count,11way_int_prop,12way_int_count,13way_int_count,14way_int_count,15way_int_count,16way_int_count,17way_int_count,18way_int_count,19way_int_count,20way_int_count,21way_int_count,22way_int_count,23way_int_count,24way_int_count,25way_int_count,26way_int_count,27way_int_count,28way_int_count,12way_int_prop,13way_int_prop,14way_int_prop,15way_int_prop,16way_int_prop,17way_int_prop,18way_int_prop,19way_int_prop,20way_int_prop,21way_int_prop,22way_int_prop,23way_int_prop,24way_int_prop,25way_int_prop,26way_int_prop,27way_int_prop,28way_int_prop
abancay,704,2.946043165467626,222.22956217392084,191.85285943072304,66173.74704982346,33522.846624239726,114,0,538,181.0,1.0,0.0,0.0,0.001199040767386,0.0,0.0066291972356915,0.7817745803357314,0.9266386049308478,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbotsford,205,2.603864734299517,73.63314366708728,54.424497493064514,25842.175404209185,14388.122522961812,594,21,1370,277.0,15.0,0.0,0.0092226613965744,0.0065876152832674,0.0,0.0051176339059927,0.8705673758865248,0.667850011093854,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbottabad,6323,2.386838868388684,139.3064824262054,92.78531394070136,57991.63597594431,30342.70956725741,543,9,980,90.0,4.0,0.0,0.0055350553505535,0.002460024600246,0.0,0.0045911022585975,0.9418676561533704,0.6240322081139672,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeche,3422,3.1335984095427434,501.6224441619307,468.7128205886828,142218.0102204061,73359.40775320011,165,2,1681,666.0,1.0,0.0,0.0007952286282306,0.0003976143141153,0.0,0.0068378747801443,0.7345801830481496,0.9966142202748456,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abengourou,1693,3.0921052631578947,225.6948001821076,208.61920674727705,73464.36498277786,37876.7502391119,92,0,829,294.0,1.0,0.0,0.0,0.0008223684210526,0.0,0.0059586632632768,0.7574013157894737,0.9756901524515864,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeokuta,2139,2.6091718001368926,106.65403055824154,83.5858076585808,32011.99010712432,16693.19699398915,1896,0,6504,366.0,0.0,0.0,0.0,0.0,0.0,0.00638907158387,0.9582477754962354,0.7504421749301078,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen,1809,2.589542483660131,196.5660610894211,151.0860704844178,41731.49688985432,22690.50366196273,1416,42,4307,348.0,7.0,0.0,0.0068627450980392,0.0011437908496732,0.0,0.0086629218997432,0.9415926291543272,0.6826598633857296,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abha,5473,2.8850713767239293,334.2641360760647,296.17112661760194,80122.04236493929,45578.9532939235,471,2,3193,465.0,2.0,0.0,0.0004839099927413,0.0004839099927413,0.0,0.0073337387526323,0.8869523117889131,0.8254814097129708,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abhar,5628,2.687863372093023,475.3667658850187,369.4802006642642,74245.04259729054,43084.624478760175,613,0,1787,339.0,11.0,2.0,0.0,0.0039970930232558,0.0007267441860465,0.0110333273560122,0.872093023255814,0.6803055100927441,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abilene,264,3.1939808481532146,70.80949604997019,65.46245886534865,30689.65351038645,16624.075150169818,276,4,2125,1236.0,13.0,1.0,0.00109439124487,0.0035567715458276,0.0002735978112175,0.0042594547612621,0.6576280471103807,0.97286556118953,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
